text	tags
kernel	O
ffffffff9517ffa5	O
dump	O
stack	O
0x19	O
0x1b	O
"
"	
stoppodthe	O
container's	O
filesystem	O
from	O
runtime	O
service	O
failed	O
:	O
remote	O
procedure	O
call	O
failed	O
:	O
code	O
an	O
unknown	O
error	O
description	O
.	O
an	O
unexpected	O
failure	O
ocurred	O
network	O
plugin	O
container	O
network	O
interface	O
failed	O
to	O
teardown	O
pod	O
prometheus	O
kube	O
prometheus	O
stack	O
prometheus	O
monitoring	O
network	O
:	O
kubernetes	O
node	O
crd	O
projectcalico	O
org	O
kubernetes	O
node	O
monitoring	O
uat17	O
deveu	O
sosiv	O
not	O
found	O
"
"	
using	O
node	O
ip	O
:	O
ip	O
"
"	
error	O
deleting	O
nightly	O
nsqd	O
from	O
network	O
Calico	O
CNI	O
SDN	O
0	O
:	O
kubernetes	O
node	O
crd	O
projectcalico	O
org	O
kubernetes	O
node	O
nightly	O
uat30	O
deveu	O
sosiv	O
not	O
found	O
"
"	
kernel	O
hardware	O
name	O
:	O
red	O
hat	O
kvm	O
bios	O
01	O
2011	O
"
"	
pod	O
status	O
updated	O
pod	O
kube	O
system	O
status	O
running	O
"
"	
kernel	O
ffffffff94c400d0	O
mem	O
cgroup	O
charge	O
common	O
0xc0	O
"
"	
kernel	O
call	O
trace	O
"
"	
failed	O
to	O
stop	O
the	O
container's	O
filesystem	O
before	O
removing	O
:	O
remote	O
procedure	O
call	O
failed	O
:	O
code	O
an	O
unknown	O
error	O
description	O
.	O
an	O
unexpected	O
failure	O
ocurred	O
network	O
plugin	O
container	O
network	O
interface	O
failed	O
to	O
teardown	O
pod	O
nsqd	O
nightly	O
network	O
:	O
kubernetes	O
node	O
crd	O
projectcalico	O
org	O
kubernetes	O
node	O
nightly	O
uat30	O
deveu	O
sosiv	O
not	O
found	O
"
"	
kernel	O
ffffffff9517a8c3	O
dump	O
header	O
0x90	O
0x229	O
"
"	
kernel	O
ffffffff94bc251e	O
oom	O
kill	O
process	O
0x25e	O
0x3f0	O
"
"	
container	O
network	O
interface	O
failed	O
to	O
retrieve	O
network	O
namespace	O
path	O
:	O
cannot	O
find	O
network	O
namespace	O
for	O
the	O
terminated	O
container	O
"
"	
kernel	O
ffffffff94c9c4d8	O
ep	O
poll	O
callback	O
0xf8	O
0x220	O
"
"	
kernel	O
ffffffff94c40c56	O
mem	O
cgroup	O
oom	O
synchronize	O
0x546	O
0x570	O
"
"	
kernel	O
ffffffff9518d8d1	O
do	O
page	O
fault	O
0x491	O
0x500	O
"
"	
kernel	O
ffffffff95178dd3	O
mm	O
fault	O
error	O
0x6a	O
0x157	O
"
"	
kernel	O
ffffffff94bc2dc4	O
memory	O
page	O
fault	O
out	O
of	O
memory	O
0x14	O
0x90	O
"
"	
containermanager	O
discovered	O
runtime	O
cgroups	O
name	O
:	O
systemd	O
system	O
slice	O
"
"	
pod	O
could	O
not	O
reach	O
running	O
phase	O
skipping	O
:	O
failed	O
to	O
start	O
container	O
command	O
for	O
etcd	O
with	O
=	O
=	O
=	O
10	O
crash	O
=	O
=	O
